epoch,train_loss,val_loss,learning_rate,epoch_time_seconds,gpu_memory_allocated_mb,gpu_memory_reserved_mb,best_val_loss,is_best
1,1.261347,0.560949,0.0002997,366.91,390.02,2300.0,0.560949,True
2,0.607969,0.716539,0.00029882,361.74,390.02,2300.0,0.560949,False
3,0.423718,0.323179,0.00029735,364.37,390.02,2300.0,0.323179,True
4,0.316667,0.240491,0.0002953,367.14,390.02,2300.0,0.240491,True
5,0.254684,0.17428,0.00029268,376.29,390.02,2300.0,0.17428,True
6,0.214802,0.213662,0.0002895,440.33,390.02,2300.0,0.17428,False
7,0.185783,0.127488,0.00028577,401.79,390.02,2300.0,0.127488,True
8,0.164296,0.089772,0.00028151,416.25,390.02,2300.0,0.089772,True
9,0.141017,0.084424,0.00027673,354.47,390.02,2300.0,0.084424,True
10,0.124571,0.104616,0.00027145,1172.03,390.02,2300.0,0.084424,False
11,0.113728,0.083774,0.00026569,555.69,390.02,2300.0,0.083774,True
12,0.1082,0.088332,0.00025948,505.43,390.02,2300.0,0.083774,False
13,0.096474,0.067539,0.00025284,463.38,390.02,2300.0,0.067539,True
14,0.089621,0.061288,0.00024579,477.65,390.02,2300.0,0.061288,True
15,0.082329,0.063445,0.00023837,490.39,390.02,2300.0,0.061288,False
16,0.077301,0.045762,0.00023061,1178.99,390.02,2300.0,0.045762,True
17,0.070306,0.063621,0.00022252,475.18,390.02,2300.0,0.045762,False
18,0.063223,0.052705,0.00021415,396.01,390.02,2300.0,0.045762,False
