class_name,precision,recall,f1_score,support
apple___apple_scab,0.989,0.9783,0.9836,92
apple___black_rot,1.0,1.0,1.0,92
apple___cedar_apple_rust,1.0,0.925,0.961,40
apple___healthy,0.9918,0.9959,0.9939,244
blueberry___healthy,1.0,0.9955,0.9978,223
cherry_including_sour___healthy,0.9918,0.9837,0.9878,123
cherry_including_sour___powdery_mildew,1.0,0.9931,0.9965,145
corn_maize___cercospora_leaf_spot_gray_leaf_spot,0.9605,0.9481,0.9542,77
corn_maize___common_rust,1.0,0.9944,0.9972,179
corn_maize___healthy,0.993,1.0,0.9965,141
corn_maize___northern_leaf_blight,0.9664,0.9796,0.973,147
grape___black_rot,0.9832,0.9944,0.9888,177
grape___esca_black_measles,1.0,0.9855,0.9927,207
grape___healthy,0.9697,1.0,0.9846,64
grape___leaf_blight_isariopsis_leaf_spot,0.9939,1.0,0.9969,162
orange___haunglongbing_citrus_greening,1.0,0.9983,0.9992,602
peach___bacterial_spot,0.9942,0.9913,0.9927,343
peach___healthy,0.9815,0.9815,0.9815,54
pepper_bell___bacterial_spot,0.9865,0.9932,0.9898,147
pepper_bell___healthy,0.9819,1.0,0.9909,217
potato___early_blight,0.9554,1.0,0.9772,150
potato___healthy,1.0,1.0,1.0,23
potato___late_blight,0.9423,0.9866,0.9639,149
raspberry___healthy,1.0,0.9787,0.9892,47
soybean___healthy,0.9953,0.9906,0.9929,637
squash___powdery_mildew,1.0,1.0,1.0,275
strawberry___healthy,1.0,1.0,1.0,68
strawberry___leaf_scorch,1.0,1.0,1.0,166
tomato___bacterial_spot,0.9775,0.9651,0.9712,315
tomato___early_blight,0.9697,0.8533,0.9078,150
tomato___healthy,0.9958,1.0,0.9979,237
tomato___late_blight,0.9491,0.9631,0.956,271
tomato___leaf_mold,0.9793,1.0,0.9895,142
tomato___septoria_leaf_spot,1.0,0.928,0.9627,264
tomato___spider_mites_two_spotted_spider_mite,1.0,0.952,0.9754,250
tomato___target_spot,0.8894,0.9952,0.9393,210
tomato___tomato_mosaic_virus,1.0,1.0,1.0,55
tomato___tomato_yellow_leaf_curl_virus,0.982,0.997,0.9894,657

macro_avg,0.9847,0.9828,0.9835,7542
weighted_avg,0.9853,0.9849,0.9848,7542
