split,class_name,image_count,percentage
train,apple___apple_scab,688,1.7857
train,apple___black_rot,515,1.3367
train,apple___cedar_apple_rust,329,0.8539
train,apple___healthy,1135,2.9459
train,blueberry___healthy,1040,2.6993
train,cherry_including_sour___healthy,570,1.4794
train,cherry_including_sour___powdery_mildew,712,1.848
train,corn_maize___cercospora_leaf_spot_gray_leaf_spot,466,1.2095
train,corn_maize___common_rust,834,2.1647
train,corn_maize___healthy,654,1.6975
train,corn_maize___northern_leaf_blight,689,1.7883
train,grape___black_rot,825,2.1413
train,grape___esca_black_measles,965,2.5047
train,grape___healthy,2518,6.5355
train,grape___leaf_blight_isariopsis_leaf_spot,752,1.9518
train,orange___haunglongbing_citrus_greening,2813,7.3012
train,peach___bacterial_spot,1604,4.1632
train,peach___healthy,453,1.1758
train,pepper_bell___bacterial_spot,690,1.7909
train,pepper_bell___healthy,1014,2.6319
train,potato___early_blight,697,1.8091
train,potato___healthy,302,0.7838
train,potato___late_blight,692,1.7961
train,raspberry___healthy,218,0.5658
train,soybean___healthy,2972,7.7139
train,squash___powdery_mildew,1281,3.3249
train,strawberry___healthy,318,0.8254
train,strawberry___leaf_scorch,774,2.0089
train,tomato___bacterial_spot,1469,3.8128
train,tomato___early_blight,696,1.8065
train,tomato___healthy,1102,2.8603
train,tomato___late_blight,1262,3.2755
train,tomato___leaf_mold,664,1.7234
train,tomato___septoria_leaf_spot,1229,3.1899
train,tomato___spider_mites_two_spotted_spider_mite,1167,3.029
train,tomato___target_spot,981,2.5462
train,tomato___tomato_mosaic_virus,373,0.9681
train,tomato___tomato_yellow_leaf_curl_virus,3065,7.9553
val,apple___apple_scab,92,1.2206
val,apple___black_rot,93,1.2339
val,apple___cedar_apple_rust,41,0.544
val,apple___healthy,243,3.2241
val,blueberry___healthy,223,2.9587
val,cherry_including_sour___healthy,122,1.6187
val,cherry_including_sour___powdery_mildew,146,1.9371
val,corn_maize___cercospora_leaf_spot_gray_leaf_spot,77,1.0216
val,corn_maize___common_rust,179,2.375
val,corn_maize___healthy,140,1.8575
val,corn_maize___northern_leaf_blight,148,1.9636
val,grape___black_rot,177,2.3484
val,grape___esca_black_measles,207,2.7465
val,grape___healthy,63,0.8359
val,grape___leaf_blight_isariopsis_leaf_spot,161,2.1361
val,orange___haunglongbing_citrus_greening,603,8.0005
val,peach___bacterial_spot,344,4.5642
val,peach___healthy,54,0.7165
val,pepper_bell___bacterial_spot,148,1.9636
val,pepper_bell___healthy,217,2.8791
val,potato___early_blight,149,1.9769
val,potato___healthy,22,0.2919
val,potato___late_blight,148,1.9636
val,raspberry___healthy,47,0.6236
val,soybean___healthy,637,8.4516
val,squash___powdery_mildew,274,3.6354
val,strawberry___healthy,68,0.9022
val,strawberry___leaf_scorch,166,2.2025
val,tomato___bacterial_spot,315,4.1794
val,tomato___early_blight,149,1.9769
val,tomato___healthy,236,3.1312
val,tomato___late_blight,270,3.5823
val,tomato___leaf_mold,142,1.884
val,tomato___septoria_leaf_spot,263,3.4895
val,tomato___spider_mites_two_spotted_spider_mite,250,3.317
val,tomato___target_spot,210,2.7863
val,tomato___tomato_mosaic_virus,56,0.743
val,tomato___tomato_yellow_leaf_curl_virus,657,8.717
test,apple___apple_scab,92,1.2198
test,apple___black_rot,92,1.2198
test,apple___cedar_apple_rust,40,0.5304
test,apple___healthy,244,3.2352
test,blueberry___healthy,223,2.9568
test,cherry_including_sour___healthy,123,1.6309
test,cherry_including_sour___powdery_mildew,145,1.9226
test,corn_maize___cercospora_leaf_spot_gray_leaf_spot,77,1.0209
test,corn_maize___common_rust,179,2.3734
test,corn_maize___healthy,141,1.8695
test,corn_maize___northern_leaf_blight,147,1.9491
test,grape___black_rot,177,2.3469
test,grape___esca_black_measles,207,2.7446
test,grape___healthy,64,0.8486
test,grape___leaf_blight_isariopsis_leaf_spot,162,2.148
test,orange___haunglongbing_citrus_greening,602,7.982
test,peach___bacterial_spot,343,4.5479
test,peach___healthy,54,0.716
test,pepper_bell___bacterial_spot,147,1.9491
test,pepper_bell___healthy,217,2.8772
test,potato___early_blight,150,1.9889
test,potato___healthy,23,0.305
test,potato___late_blight,149,1.9756
test,raspberry___healthy,47,0.6232
test,soybean___healthy,637,8.446
test,squash___powdery_mildew,275,3.6462
test,strawberry___healthy,68,0.9016
test,strawberry___leaf_scorch,166,2.201
test,tomato___bacterial_spot,315,4.1766
test,tomato___early_blight,150,1.9889
test,tomato___healthy,237,3.1424
test,tomato___late_blight,271,3.5932
test,tomato___leaf_mold,142,1.8828
test,tomato___septoria_leaf_spot,264,3.5004
test,tomato___spider_mites_two_spotted_spider_mite,250,3.3148
test,tomato___target_spot,210,2.7844
test,tomato___tomato_mosaic_virus,55,0.7292
test,tomato___tomato_yellow_leaf_curl_virus,657,8.7112
